date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Wed Sep 04 2019 12:22:48 GMT-0400 (Eastern Daylight Time), Anonymous,,Current Employee ,Best Company Ever!!,I have been working at The RealReal full-time for more than 3 years,0,"I love working at The RealReal! It's a collaborative work environment, very ""work hard/play hard"" atmosphere so if you are a go-getter this is the place for you. Free food at least once a month, great benefits, amazing time off policy, overall a really great place to work!","The hierarchy is sometimes hard to follow, there are a lot of managers/directors and it's not always easy to understand who you should go to for what. There is also a lot of job movement so the person you talked to last week about something maybe in a new role this week and you had no idea that changed happened.",Keep up the good work!!,5.0,5.0,5.0,5.0,5.0,4.0
Wed Oct 23 2019 02:43:36 GMT-0400 (Eastern Daylight Time), Sales and Business Development Representative,,Former Employee ,Competitive and laid-back,I worked at The RealReal full-time for less than a year,0,"the office is quite laid back
you are not micro-managed
opportunity for bonuses + sales commission",still very much a start-up,,4.0,5.0,5.0,4.0,3.0,4.0
Sat Oct 19 2019 07:47:12 GMT-0400 (Eastern Daylight Time), Copywriter,"Secaucus, NJ",Current Employee ,Your Job is Your Life,I have been working at The RealReal full-time for less than a year,0,"Subsidized lunches, (mostly) friendly work environment, semi-flexible schedules & management that’s willing to work with you","It’s not an easy job. The quotas can be difficult to make depending on how you feel that day, what items you’re working on and whether or not you took too much time at lunch. Individual copywriters are also held responsible if a fake item gets through, so it can be stressful. However, you can tell the company recognizes this and tries to make up for it with flexible scheduling and lunches. The job also feels a lot...",Numbers aren’t everything.,3.0,2.0,4.0,3.0,3.0,5.0
Thu Oct 10 2019 20:31:19 GMT-0400 (Eastern Daylight Time), Copywriter,"Brisbane, CA",Current Employee ,It's Not What It Seems,I have been working at The RealReal full-time for more than a year,2,"Extensive knowledge of brands, textiles, etc.",Unrealistic goals and treatmen tof empolyees,,3.0,5.0,1.0,3.0,1.0,2.0
Thu Oct 24 2019 16:31:14 GMT-0400 (Eastern Daylight Time), Photographer,,Current Employee ,Bad pay,I have been working at The RealReal full-time for less than a year,1,"Friendly work environment, leads and managers are nice.","16 bucks an hour is not a living wage in the Bay Area. Get real. Minimum wage for hard work, on your feet all day, keeps the turn over rate high. Must be at current position for a whole year before applying for other positions, that don't seem to pay much more.",Pay more. Lower the length of work time to apply for other positions.,2.0,3.0,4.0,2.0,2.0,3.0
Tue Sep 17 2019 21:04:53 GMT-0400 (Eastern Daylight Time), Production Assistant,"San Francisco, CA",Former Employee ,Run While You Still Can,I worked at The RealReal full-time for more than 3 years,16,The people. I stayed 3 years because my co workers were amazing team members who later became amazing friends.,Where should I even start? Should we talk about how employees no longer get any Holidays off? What about the part where employees are paid below a livable wage for the Bay Area while management continue to raise quotas and expectations with NO pay raise. How about the part where people were once forced to work in the warehouse (that had literal SMOKE and hazardous air quality) during the massive paradise fires? Talk...,Invest in your employees. LISTEN TO YOUR EMPLOYEES!!! We are not replaceable robots. Take a look at your ridiculous turn over rates. People don’t leave companies... they leave crappy management.,2.0,2.0,1.0,3.0,1.0,1.0
Wed Oct 23 2019 17:48:16 GMT-0400 (Eastern Daylight Time), Fashion Copywriter,"Brisbane, CA",Current Employee ,Toxic work environment,I have been working at The RealReal full-time for more than 3 years,1,The friends I've made but thats it,"The managers are petty, HR is terrible, our working conditions are even worse. the list goes on.... Please dont waste your time working for this company. Theres been multiple occasions where my paychecks were shorted money, I still dont know if I'm being paid correctly. I thought it'd be worth it to work at TRR but I wake up everyday wishing I didnt have to go to work but unfortunately I need the money. 

I'll say...",Fire management & HR. Listen to employees,1.0,2.0,1.0,1.0,2.0,1.0
Wed Oct 16 2019 09:48:56 GMT-0400 (Eastern Daylight Time), Customer Service,"New York, NY",Current Employee ,Run fast,I have been working at The RealReal full-time for less than a year,3,Seeing the interesting fashion that comes in on consignment! Celebrity clientele,"PAY!!! No employee perks or discounts, Work life balance is terrible , communication between recruitment and actually in store leadership are not consistent. So many things you are told/ offered changes when you actually start working. This position does most of the work in the store and the least paid helping every single department with sales, scheduling appointments, even the cafe sometimes, handling returns,...",..... there’s a letter I’d like to write,1.0,1.0,1.0,2.0,1.0,2.0
Thu Sep 05 2019 12:34:25 GMT-0400 (Eastern Daylight Time), Senior Business Development Representative,"New York, NY",Current Employee ,Business Development Representative,I have been working at The RealReal full-time for more than a year,0,"Culture, Co-workers, Locations, Fast Paced, Innovative, Growth Opportunities","Low Pay, Repetitive, Dealing with Angry Customers/Consignors",Promote from Within!,5.0,5.0,5.0,5.0,3.0,5.0
Tue Aug 27 2019 12:46:37 GMT-0400 (Eastern Daylight Time), IT Help Desk Technician,"Secaucus, NJ",Current Employee ,they know how to treat their employees,I have been working at The RealReal full-time for more than a year,0,They give free lunch Mondays and pizza once every month,I don't have nothing negative to say about the company,,5.0,5.0,5.0,5.0,5.0,4.0
